plc_address,zero_based_address,register_1,register_2,interpretation,decoded_value
41405,1404,65535,,Int16 / 10,-0.1
41405,1404,65535,,Int16 / 100,-0.01
41405,1404,65535,,Int16 / 1000,-0.001
41405,1404,65535,,UInt16 / 10,6553.5
41405,1404,65535,,UInt16 / 100,655.35
41405,1404,65535,,UInt16 / 1000,65.535
41406,1405,32767,,Int16 / 10,3276.7
41406,1405,32767,,Int16 / 100,327.67
41406,1405,32767,,Int16 / 1000,32.767
41406,1405,32767,,UInt16 / 10,3276.7
41406,1405,32767,,UInt16 / 100,327.67
41406,1405,32767,,UInt16 / 1000,32.767
42001,2000,336,,Int16,336.0
42001,2000,336,,Int16 / 10,33.6
42001,2000,336,,Int16 / 100,3.36
42001,2000,336,,Int16 / 1000,0.336
42001,2000,336,,UInt16,336.0
42001,2000,336,,UInt16 / 10,33.6
42001,2000,336,,UInt16 / 100,3.36
42001,2000,336,,UInt16 / 1000,0.336
42002,2001,18512,,Int16 / 10,1851.2
42002,2001,18512,,Int16 / 100,185.12
42002,2001,18512,,Int16 / 1000,18.512
42002,2001,18512,,UInt16 / 10,1851.2
42002,2001,18512,,UInt16 / 100,185.12
42002,2001,18512,,UInt16 / 1000,18.512
42003,2002,21837,,Int16 / 10,2183.7
42003,2002,21837,,Int16 / 100,218.37
42003,2002,21837,,Int16 / 1000,21.837
42003,2002,21837,,UInt16 / 10,2183.7
42003,2002,21837,,UInt16 / 100,218.37
42003,2002,21837,,UInt16 / 1000,21.837
42004,2003,20525,,Int16 / 10,2052.5
42004,2003,20525,,Int16 / 100,205.25
42004,2003,20525,,Int16 / 1000,20.525
42004,2003,20525,,UInt16 / 10,2052.5
42004,2003,20525,,UInt16 / 100,205.25
42004,2003,20525,,UInt16 / 1000,20.525
42005,2004,20306,,Int16 / 10,2030.6
42005,2004,20306,,Int16 / 100,203.06
42005,2004,20306,,Int16 / 1000,20.306
42005,2004,20306,,UInt16 / 10,2030.6
42005,2004,20306,,UInt16 / 100,203.06
42005,2004,20306,,UInt16 / 1000,20.306
42006,2005,20560,,Int16 / 10,2056.0
42006,2005,20560,,Int16 / 100,205.6
42006,2005,20560,,Int16 / 1000,20.56
42006,2005,20560,,UInt16 / 10,2056.0
42006,2005,20560,,UInt16 / 100,205.6
42006,2005,20560,,UInt16 / 1000,20.56
42007,2006,21837,,Int16 / 10,2183.7
42007,2006,21837,,Int16 / 100,218.37
42007,2006,21837,,Int16 / 1000,21.837
42007,2006,21837,,UInt16 / 10,2183.7
42007,2006,21837,,UInt16 / 100,218.37
42007,2006,21837,,UInt16 / 1000,21.837
42008,2007,20480,,Int16 / 10,2048.0
42008,2007,20480,,Int16 / 100,204.8
42008,2007,20480,,Int16 / 1000,20.48
42008,2007,20480,,UInt16 / 10,2048.0
42008,2007,20480,,UInt16 / 100,204.8
42008,2007,20480,,UInt16 / 1000,20.48
42011,2010,23298,,Int16 / 10,2329.8
42011,2010,23298,,Int16 / 100,232.98
42011,2010,23298,,Int16 / 1000,23.298
42011,2010,23298,,UInt16 / 10,2329.8
42011,2010,23298,,UInt16 / 100,232.98
42011,2010,23298,,UInt16 / 1000,23.298
42013,2012,256,,Int16,256.0
42013,2012,256,,Int16 / 10,25.6
42013,2012,256,,Int16 / 100,2.56
42013,2012,256,,Int16 / 1000,0.256
42013,2012,256,,UInt16,256.0
42013,2012,256,,UInt16 / 10,25.6
42013,2012,256,,UInt16 / 100,2.56
42013,2012,256,,UInt16 / 1000,0.256
42021,2020,2320,,Int16,2320.0
42021,2020,2320,,Int16 / 10,232.0
42021,2020,2320,,Int16 / 100,23.2
42021,2020,2320,,Int16 / 1000,2.32
42021,2020,2320,,UInt16,2320.0
42021,2020,2320,,UInt16 / 10,232.0
42021,2020,2320,,UInt16 / 100,23.2
42021,2020,2320,,UInt16 / 1000,2.32
42101,2100,256,,Int16,256.0
42101,2100,256,,Int16 / 10,25.6
42101,2100,256,,Int16 / 100,2.56
42101,2100,256,,Int16 / 1000,0.256
42101,2100,256,,UInt16,256.0
42101,2100,256,,UInt16 / 10,25.6
42101,2100,256,,UInt16 / 100,2.56
42101,2100,256,,UInt16 / 1000,0.256
42103,2102,37633,,Int16 / 100,-279.03
42103,2102,37633,,Int16 / 1000,-27.903
42103,2102,37633,,UInt16 / 10,3763.3
42103,2102,37633,,UInt16 / 100,376.33
42103,2102,37633,,UInt16 / 1000,37.633
42105,2104,2304,,Int16,2304.0
42105,2104,2304,,Int16 / 10,230.4
42105,2104,2304,,Int16 / 100,23.04
42105,2104,2304,,Int16 / 1000,2.304
42105,2104,2304,,UInt16,2304.0
42105,2104,2304,,UInt16 / 10,230.4
42105,2104,2304,,UInt16 / 100,23.04
42105,2104,2304,,UInt16 / 1000,2.304
42107,2106,9373,,Int16,9373.0
42107,2106,9373,,Int16 / 10,937.3
42107,2106,9373,,Int16 / 100,93.73
42107,2106,9373,,Int16 / 1000,9.373
42107,2106,9373,,UInt16,9373.0
42107,2106,9373,,UInt16 / 10,937.3
42107,2106,9373,,UInt16 / 100,93.73
42107,2106,9373,,UInt16 / 1000,9.373
42108,2107,544,,Int16,544.0
42108,2107,544,,Int16 / 10,54.4
42108,2107,544,,Int16 / 100,5.44
42108,2107,544,,Int16 / 1000,0.544
42108,2107,544,,UInt16,544.0
42108,2107,544,,UInt16 / 10,54.4
42108,2107,544,,UInt16 / 100,5.44
42108,2107,544,,UInt16 / 1000,0.544
42109,2108,33942,,Int16 / 100,-315.94
42109,2108,33942,,Int16 / 1000,-31.594
42109,2108,33942,,UInt16 / 10,3394.2
42109,2108,33942,,UInt16 / 100,339.42
42109,2108,33942,,UInt16 / 1000,33.942
42110,2109,544,,Int16,544.0
42110,2109,544,,Int16 / 10,54.4
42110,2109,544,,Int16 / 100,5.44
42110,2109,544,,Int16 / 1000,0.544
42110,2109,544,,UInt16,544.0
42110,2109,544,,UInt16 / 10,54.4
42110,2109,544,,UInt16 / 100,5.44
42110,2109,544,,UInt16 / 1000,0.544
42117,2116,6147,,Int16,6147.0
42117,2116,6147,,Int16 / 10,614.7
42117,2116,6147,,Int16 / 100,61.47
42117,2116,6147,,Int16 / 1000,6.147
42117,2116,6147,,UInt16,6147.0
42117,2116,6147,,UInt16 / 10,614.7
42117,2116,6147,,UInt16 / 100,61.47
42117,2116,6147,,UInt16 / 1000,6.147
42121,2120,0,24641,Float DCBA,14.0
42122,2121,24641,30861,Float BADC,14.034538269042969
42122,2121,24641,,Int16 / 10,2464.1
42122,2121,24641,,Int16 / 100,246.41
42122,2121,24641,,Int16 / 1000,24.641
42122,2121,24641,,UInt16 / 10,2464.1
42122,2121,24641,,UInt16 / 100,246.41
42122,2121,24641,,UInt16 / 1000,24.641
42123,2122,30861,58688,Float DCBA,7.173519134521484
42123,2122,30861,,Int16 / 10,3086.1
42123,2122,30861,,Int16 / 100,308.61
42123,2122,30861,,Int16 / 1000,30.861
42123,2122,30861,,UInt16 / 10,3086.1
42123,2122,30861,,UInt16 / 100,308.61
42123,2122,30861,,UInt16 / 1000,30.861
42124,2123,58688,0,Float BADC,7.15625
42124,2123,58688,,Int16 / 10,-684.8
42124,2123,58688,,Int16 / 100,-68.48
42124,2123,58688,,Int16 / 1000,-6.848
42124,2123,58688,,UInt16 / 10,5868.8
42124,2123,58688,,UInt16 / 100,586.88
42124,2123,58688,,UInt16 / 1000,58.688
42128,2127,0,14338,Float CDAB,3.0994415283203125e-05
42129,2128,14338,512,Float ABCD,3.0996277928352356e-05
42129,2128,14338,,Int16 / 10,1433.8
42129,2128,14338,,Int16 / 100,143.38
42129,2128,14338,,Int16 / 1000,14.338
42129,2128,14338,,UInt16 / 10,1433.8
42129,2128,14338,,UInt16 / 100,143.38
42129,2128,14338,,UInt16 / 1000,14.338
42130,2129,512,,Int16,512.0
42130,2129,512,,Int16 / 10,51.2
42130,2129,512,,Int16 / 100,5.12
42130,2129,512,,Int16 / 1000,0.512
42130,2129,512,,UInt16,512.0
42130,2129,512,,UInt16 / 10,51.2
42130,2129,512,,UInt16 / 100,5.12
42130,2129,512,,UInt16 / 1000,0.512
42131,2130,2775,9021,Float DCBA,0.03999999910593033
42131,2130,2775,,Int16,2775.0
42131,2130,2775,,Int16 / 10,277.5
42131,2130,2775,,Int16 / 100,27.75
42131,2130,2775,,Int16 / 1000,2.775
42131,2130,2775,,UInt16,2775.0
42131,2130,2775,,UInt16 / 10,277.5
42131,2130,2775,,UInt16 / 100,27.75
42131,2130,2775,,UInt16 / 1000,2.775
42132,2131,9021,39577,Float BADC,0.03994140774011612
42132,2131,9021,,Int16,9021.0
42132,2131,9021,,Int16 / 10,902.1
42132,2131,9021,,Int16 / 100,90.21
42132,2131,9021,,Int16 / 1000,9.021
42132,2131,9021,,UInt16,9021.0
