plc_address,zero_based_address,register_1,register_2,interpretation,decoded_value
42303,2302,63233,,UInt16 / 1000,63.233
42305,2304,2320,,Int16,2320.0
42305,2304,2320,,Int16 / 10,232.0
42305,2304,2320,,Int16 / 100,23.2
42305,2304,2320,,Int16 / 1000,2.32
42305,2304,2320,,UInt16,2320.0
42305,2304,2320,,UInt16 / 10,232.0
42305,2304,2320,,UInt16 / 100,23.2
42305,2304,2320,,UInt16 / 1000,2.32
42307,2306,9373,,Int16,9373.0
42307,2306,9373,,Int16 / 10,937.3
42307,2306,9373,,Int16 / 100,93.73
42307,2306,9373,,Int16 / 1000,9.373
42307,2306,9373,,UInt16,9373.0
42307,2306,9373,,UInt16 / 10,937.3
42307,2306,9373,,UInt16 / 100,93.73
42307,2306,9373,,UInt16 / 1000,9.373
42308,2307,544,,Int16,544.0
42308,2307,544,,Int16 / 10,54.4
42308,2307,544,,Int16 / 100,5.44
42308,2307,544,,Int16 / 1000,0.544
42308,2307,544,,UInt16,544.0
42308,2307,544,,UInt16 / 10,54.4
42308,2307,544,,UInt16 / 100,5.44
42308,2307,544,,UInt16 / 1000,0.544
42309,2308,51350,,Int16 / 100,-141.86
42309,2308,51350,,Int16 / 1000,-14.186
42309,2308,51350,,UInt16 / 10,5135.0
42309,2308,51350,,UInt16 / 100,513.5
42309,2308,51350,,UInt16 / 1000,51.35
42310,2309,544,,Int16,544.0
42310,2309,544,,Int16 / 10,54.4
42310,2309,544,,Int16 / 100,5.44
42310,2309,544,,Int16 / 1000,0.544
42310,2309,544,,UInt16,544.0
42310,2309,544,,UInt16 / 10,54.4
42310,2309,544,,UInt16 / 100,5.44
42310,2309,544,,UInt16 / 1000,0.544
42317,2316,6419,,Int16,6419.0
42317,2316,6419,,Int16 / 10,641.9
42317,2316,6419,,Int16 / 100,64.19
42317,2316,6419,,Int16 / 1000,6.419
42317,2316,6419,,UInt16,6419.0
42317,2316,6419,,UInt16 / 10,641.9
42317,2316,6419,,UInt16 / 100,64.19
42317,2316,6419,,UInt16 / 1000,6.419
42321,2320,0,31300,Float DCBA,1000.0
42322,2321,31300,58249,Float BADC,1002.1544799804688
42322,2321,31300,,Int16 / 10,3130.0
42322,2321,31300,,Int16 / 100,313.0
42322,2321,31300,,Int16 / 1000,31.3
42322,2321,31300,,UInt16 / 10,3130.0
42322,2321,31300,,UInt16 / 100,313.0
42322,2321,31300,,UInt16 / 1000,31.3
42323,2322,58249,23620,Float DCBA,882.1544799804688
42323,2322,58249,,Int16 / 10,-728.7
42323,2322,58249,,Int16 / 100,-72.87
42323,2322,58249,,Int16 / 1000,-7.287
42323,2322,58249,,UInt16 / 10,5824.9
42323,2322,58249,,UInt16 / 100,582.49
42323,2322,58249,,UInt16 / 1000,58.249
42324,2323,23620,0,Float BADC,880.0
42324,2323,23620,,Int16 / 10,2362.0
42324,2323,23620,,Int16 / 100,236.2
42324,2323,23620,,Int16 / 1000,23.62
42324,2323,23620,,UInt16 / 10,2362.0
42324,2323,23620,,UInt16 / 100,236.2
42324,2323,23620,,UInt16 / 1000,23.62
42328,2327,0,14338,Float CDAB,3.0994415283203125e-05
42329,2328,14338,512,Float ABCD,3.0996277928352356e-05
42329,2328,14338,,Int16 / 10,1433.8
42329,2328,14338,,Int16 / 100,143.38
42329,2328,14338,,Int16 / 1000,14.338
42329,2328,14338,,UInt16 / 10,1433.8
42329,2328,14338,,UInt16 / 100,143.38
42329,2328,14338,,UInt16 / 1000,14.338
42330,2329,512,,Int16,512.0
42330,2329,512,,Int16 / 10,51.2
42330,2329,512,,Int16 / 100,5.12
42330,2329,512,,Int16 / 1000,0.512
42330,2329,512,,UInt16,512.0
42330,2329,512,,UInt16 / 10,51.2
42330,2329,512,,UInt16 / 100,5.12
42330,2329,512,,UInt16 / 1000,0.512
42331,2330,0,41025,Float DCBA,20.0
42332,2331,41025,0,Float BADC,20.0
42332,2331,41025,,Int16 / 100,-245.11
42332,2331,41025,,Int16 / 1000,-24.511
42332,2331,41025,,UInt16 / 10,4102.5
42332,2331,41025,,UInt16 / 100,410.25
42332,2331,41025,,UInt16 / 1000,41.025
42333,2332,0,64067,Float DCBA,500.0
42334,2333,64067,128,Float BADC,501.0
42334,2333,64067,,Int16 / 10,-146.9
42334,2333,64067,,Int16 / 100,-14.69
42334,2333,64067,,Int16 / 1000,-1.469
42334,2333,64067,,UInt16 / 10,6406.7
42334,2333,64067,,UInt16 / 100,640.67
42334,2333,64067,,UInt16 / 1000,64.067
42335,2334,128,21572,Float DCBA,850.0
42335,2334,128,,Int16,128.0
42335,2334,128,,Int16 / 10,12.8
42335,2334,128,,Int16 / 100,1.28
42335,2334,128,,Int16 / 1000,0.128
42335,2334,128,,UInt16,128.0
42335,2334,128,,UInt16 / 10,12.8
42335,2334,128,,UInt16 / 100,1.28
42335,2334,128,,UInt16 / 1000,0.128
42336,2335,21572,0,Float BADC,848.0
42336,2335,21572,,Int16 / 10,2157.2
42336,2335,21572,,Int16 / 100,215.72
42336,2335,21572,,Int16 / 1000,21.572
42336,2335,21572,,UInt16 / 10,2157.2
42336,2335,21572,,UInt16 / 100,215.72
42336,2335,21572,,UInt16 / 1000,21.572
42339,2338,30875,,Int16 / 10,3087.5
42339,2338,30875,,Int16 / 100,308.75
42339,2338,30875,,Int16 / 1000,30.875
42339,2338,30875,,UInt16 / 10,3087.5
42339,2338,30875,,UInt16 / 100,308.75
42339,2338,30875,,UInt16 / 1000,30.875
42340,2339,544,,Int16,544.0
42340,2339,544,,Int16 / 10,54.4
42340,2339,544,,Int16 / 100,5.44
42340,2339,544,,Int16 / 1000,0.544
42340,2339,544,,UInt16,544.0
42340,2339,544,,UInt16 / 10,54.4
42340,2339,544,,UInt16 / 100,5.44
42340,2339,544,,UInt16 / 1000,0.544
42355,2354,65535,,Int16,-1.0
42355,2354,65535,,Int16 / 10,-0.1
42355,2354,65535,,Int16 / 100,-0.01
42355,2354,65535,,Int16 / 1000,-0.001
42355,2354,65535,,UInt16 / 10,6553.5
42355,2354,65535,,UInt16 / 100,655.35
42355,2354,65535,,UInt16 / 1000,65.535
42356,2355,65407,,Int16,-129.0
42356,2355,65407,,Int16 / 10,-12.9
42356,2355,65407,,Int16 / 100,-1.29
42356,2355,65407,,Int16 / 1000,-0.129
42356,2355,65407,,UInt16 / 10,6540.7
42356,2355,65407,,UInt16 / 100,654.07
42356,2355,65407,,UInt16 / 1000,65.407
42357,2356,1536,,Int16,1536.0
42357,2356,1536,,Int16 / 10,153.6
42357,2356,1536,,Int16 / 100,15.36
42357,2356,1536,,Int16 / 1000,1.536
42357,2356,1536,,UInt16,1536.0
42357,2356,1536,,UInt16 / 10,153.6
42357,2356,1536,,UInt16 / 100,15.36
42357,2356,1536,,UInt16 / 1000,1.536
42359,2358,0,12100,Float CDAB,1.7826096154749393e-10
42359,2358,0,12100,Float DCBA,700.0
42360,2359,12100,0,Float ABCD,1.7826096154749393e-10
42360,2359,12100,0,Float BADC,700.0
42360,2359,12100,,Int16 / 10,1210.0
42360,2359,12100,,Int16 / 100,121.0
42360,2359,12100,,Int16 / 1000,12.1
42360,2359,12100,,UInt16 / 10,1210.0
42360,2359,12100,,UInt16 / 100,121.0
42360,2359,12100,,UInt16 / 1000,12.1
42361,2360,0,41024,Float DCBA,5.0
42362,2361,41024,0,Float BADC,5.0
42362,2361,41024,,Int16 / 100,-245.12
42362,2361,41024,,Int16 / 1000,-24.512
42362,2361,41024,,UInt16 / 10,4102.4
42362,2361,41024,,UInt16 / 100,410.24
42362,2361,41024,,UInt16 / 1000,41.024
42363,2362,0,18498,Float DCBA,50.0
42364,2363,18498,0,Float BADC,50.0
42364,2363,18498,,Int16 / 10,1849.8
42364,2363,18498,,Int16 / 100,184.98
42364,2363,18498,,Int16 / 1000,18.498
42364,2363,18498,,UInt16 / 10,1849.8
42364,2363,18498,,UInt16 / 100,184.98
42364,2363,18498,,UInt16 / 1000,18.498
42373,2372,24872,27072,Float DCBA,-3.643089532852173
42373,2372,24872,,Int16 / 10,2487.2
42373,2372,24872,,Int16 / 100,248.72
42373,2372,24872,,Int16 / 1000,24.872
42373,2372,24872,,UInt16 / 10,2487.2
42373,2372,24872,,UInt16 / 100,248.72
42373,2372,24872,,UInt16 / 1000,24.872
42374,2373,27072,33843,Float BADC,-3.6437692642211914
42374,2373,27072,33843,Float DCBA,6.181728195997493e-08
42374,2373,27072,,Int16 / 10,2707.2
42374,2373,27072,,Int16 / 100,270.72
42374,2373,27072,,Int16 / 1000,27.072
42374,2373,27072,,UInt16 / 10,2707.2
42374,2373,27072,,UInt16 / 100,270.72
42374,2373,27072,,UInt16 / 1000,27.072
42375,2374,33843,14019,Float BADC,6.182237655139033e-08
42375,2374,33843,14019,Float CDAB,5.8268428801966365e-06
42375,2374,33843,14019,Float DCBA,-182.20123291015625
42375,2374,33843,,Int16 / 100,-316.93
42375,2374,33843,,Int16 / 1000,-31.693
42375,2374,33843,,UInt16 / 10,3384.3
42375,2374,33843,,UInt16 / 100,338.43
42375,2374,33843,,UInt16 / 1000,33.843
42376,2375,14019,0,Float ABCD,5.811452865600586e-06
42376,2375,14019,0,Float BADC,-182.0
42376,2375,14019,,Int16 / 10,1401.9
42376,2375,14019,,Int16 / 100,140.19
42376,2375,14019,,Int16 / 1000,14.019
42376,2375,14019,,UInt16 / 10,1401.9
42376,2375,14019,,UInt16 / 100,140.19
42376,2375,14019,,UInt16 / 1000,14.019
42381,2380,1024,,Int16,1024.0
42381,2380,1024,,Int16 / 10,102.4
42381,2380,1024,,Int16 / 100,10.24
42381,2380,1024,,Int16 / 1000,1.024
42381,2380,1024,,UInt16,1024.0
42381,2380,1024,,UInt16 / 10,102.4
42381,2380,1024,,UInt16 / 100,10.24
42381,2380,1024,,UInt16 / 1000,1.024
42382,2381,30693,,Int16 / 10,3069.3
42382,2381,30693,,Int16 / 100,306.93
42382,2381,30693,,Int16 / 1000,30.693
42382,2381,30693,,UInt16 / 10,3069.3
42382,2381,30693,,UInt16 / 100,306.93
42382,2381,30693,,UInt16 / 1000,30.693
42383,2382,32849,,Int16 / 100,-326.87
42383,2382,32849,,Int16 / 1000,-32.687
42383,2382,32849,,UInt16 / 10,3284.9
42383,2382,32849,,UInt16 / 100,328.49
42383,2382,32849,,UInt16 / 1000,32.849
42384,2383,256,,Int16,256.0
42384,2383,256,,Int16 / 10,25.6
42384,2383,256,,Int16 / 100,2.56
42384,2383,256,,Int16 / 1000,0.256
42384,2383,256,,UInt16,256.0
42384,2383,256,,UInt16 / 10,25.6
42384,2383,256,,UInt16 / 100,2.56
42384,2383,256,,UInt16 / 1000,0.256
42385,2384,52684,52285,Float DCBA,0.10000000149011612
42385,2384,52684,,Int16 / 100,-128.52
42385,2384,52684,,Int16 / 1000,-12.852
42385,2384,52684,,UInt16 / 10,5268.4
42385,2384,52684,,UInt16 / 100,526.84
42385,2384,52684,,UInt16 / 1000,52.684
42386,2385,52285,0,Float BADC,0.099609375
42386,2385,52285,,Int16 / 100,-132.51
42386,2385,52285,,Int16 / 1000,-13.251
42386,2385,52285,,UInt16 / 10,5228.5
42386,2385,52285,,UInt16 / 100,522.85
42386,2385,52285,,UInt16 / 1000,52.285
42391,2390,41115,,Int16 / 100,-244.21
42391,2390,41115,,Int16 / 1000,-24.421
42391,2390,41115,,UInt16 / 10,4111.5
42391,2390,41115,,UInt16 / 100,411.15
42391,2390,41115,,UInt16 / 1000,41.115
42392,2391,544,,Int16,544.0
42392,2391,544,,Int16 / 10,54.4
42392,2391,544,,Int16 / 100,5.44
42392,2391,544,,Int16 / 1000,0.544
42392,2391,544,,UInt16,544.0
42392,2391,544,,UInt16 / 10,54.4
42392,2391,544,,UInt16 / 100,5.44
42392,2391,544,,UInt16 / 1000,0.544
