start_address_zero_based,plc_address,register_1,register_2,format,float_value
2373,42374,27072,33843,float_dcba,6.181728195997493e-08
2374,42375,33843,14019,float_cdab,5.8268428801966365e-06
2374,42375,33843,14019,float_badc,6.182237655139033e-08
2375,42376,14019,0,float_abcd,5.811452865600586e-06
2384,42385,52684,52285,float_dcba,0.10000000149011612
2385,42386,52285,0,float_badc,0.099609375
2501,42502,0,13824,float_cdab,1.9073486328125e-06
2502,42503,13824,0,float_abcd,1.9073486328125e-06
2512,42513,0,24641,float_dcba,14.0
2513,42514,24641,49299,float_cdab,-4.605499744415283
2513,42514,24641,49299,float_badc,14.03607177734375
2514,42515,49299,31170,float_abcd,-4.608613014221191
2514,42515,49299,31170,float_dcba,-62.394287109375
2515,42516,31170,0,float_badc,-62.25
2518,42519,39577,26050,float_dcba,-57.400001525878906
2519,42520,26050,0,float_badc,-57.25
2522,42523,28151,16183,float_cdab,0.716521680355072
2522,42523,28151,16183,float_dcba,1.1442095456004608e-05
2523,42524,16183,50,float_abcd,0.7148467302322388
2523,42524,16183,50,float_badc,1.1396128684282303e-05
2524,42525,50,11713,float_dcba,-10.82470703125
2525,42526,11713,50,float_badc,-10.82470703125
2526,42527,50,11713,float_dcba,-10.82470703125
2527,42528,11713,57608,float_badc,-10.814667701721191
2528,42529,57608,58944,float_dcba,7.188583850860596
2529,42530,58944,14477,float_cdab,6.766291335225105e-05
2529,42530,58944,14477,float_badc,7.204738616943359
2530,42531,14477,58688,float_abcd,6.766105070710182e-05
2530,42531,14477,58688,float_dcba,7.173488616943359
2531,42532,58688,51350,float_badc,7.174655914306641
2562,42563,0,31300,float_dcba,1000.0
2563,42564,31300,0,float_badc,1000.0
2564,42565,0,32831,float_dcba,1.0
2565,42566,32831,116,float_badc,1.0035400390625
2566,42567,116,1599,float_dcba,0.52520751953125
2567,42568,1599,0,float_badc,0.5234375
2568,42569,0,32831,float_dcba,1.0
2569,42570,32831,0,float_badc,1.0
2572,42573,23320,38199,float_dcba,1.7773525541997515e-05
2573,42574,38199,18861,float_badc,1.7842876331997104e-05
2574,42575,18861,23620,float_dcba,882.7075805664062
2575,42576,23620,18861,float_badc,882.7075805664062
2576,42577,18861,23620,float_dcba,882.7075805664062
2577,42578,23620,18861,float_badc,882.7075805664062
2578,42579,18861,23620,float_dcba,882.7075805664062
2579,42580,23620,44171,float_badc,882.182373046875
2580,42581,44171,23620,float_dcba,882.182373046875
2581,42582,23620,3223,float_badc,882.360107421875
2610,42611,0,41152,float_dcba,-5.0
2611,42612,41152,0,float_badc,-5.0
2612,42613,0,13378,float_cdab,1.8067657947540283e-07
2612,42613,0,13378,float_dcba,45.0
2613,42614,13378,2775,float_abcd,1.8071601459723752e-07
2613,42614,13378,2775,float_badc,45.209999084472656
2614,42615,2775,41790,float_dcba,0.3199999928474426
2615,42616,41790,13107,float_cdab,4.1825153118679737e-08
2615,42616,41790,13107,float_badc,0.3187499940395355
2615,42616,41790,13107,float_dcba,4.173365297788223e-08
2616,42617,13107,45888,float_abcd,4.183971213933546e-08
2616,42617,13107,45888,float_cdab,-4.475004899973101e-08
2616,42617,13107,45888,float_badc,4.1735528810704636e-08
2616,42617,13107,45888,float_dcba,5.599999904632568
2617,42618,45888,2775,float_abcd,-4.471334236200164e-08
2617,42618,45888,2775,float_badc,5.619999885559082
2618,42619,2775,41790,float_dcba,0.3199999928474426
2619,42620,41790,13107,float_cdab,4.1825153118679737e-08
2619,42620,41790,13107,float_badc,0.3187499940395355
2619,42620,41790,13107,float_dcba,4.173365297788223e-08
2620,42621,13107,45888,float_abcd,4.183971213933546e-08
2620,42621,13107,45888,float_cdab,-4.475004899973101e-08
2620,42621,13107,45888,float_badc,4.1735528810704636e-08
2620,42621,13107,45888,float_dcba,5.599999904632568
2621,42622,45888,0,float_abcd,-4.470348358154297e-08
2621,42622,45888,0,float_badc,5.59375
2624,42625,40996,19516,float_dcba,0.012459903955459595
2625,42626,19516,65535,float_badc,0.012512206099927425
3001,43002,0,47616,float_cdab,-0.00048828125
3002,43003,47616,0,float_abcd,-0.00048828125
3014,43015,0,32831,float_dcba,1.0
3015,43016,32831,0,float_badc,1.0
3017,43018,0,49364,float_cdab,-6.625
3018,43019,49364,256,float_abcd,-6.6251220703125
3029,43030,33539,27195,float_dcba,0.003570765955373645
3030,43031,27195,33027,float_badc,0.0035707654897123575
3047,43048,544,14741,float_cdab,0.00028421077877283096
3048,43049,14741,520,float_abcd,0.0002842100802809
3049,43050,520,49364,float_cdab,-6.625247955322266
3050,43051,49364,256,float_abcd,-6.6251220703125
3105,43106,0,14483,float_cdab,7.009506225585938e-05
3106,43107,14483,544,float_abcd,7.009902037680149e-05
3114,43115,0,32831,float_dcba,1.0
3115,43116,32831,0,float_badc,1.0
3117,43118,0,49364,float_cdab,-6.625
3118,43119,49364,256,float_abcd,-6.6251220703125
3129,43130,33539,27195,float_dcba,0.003570765955373645
3130,43131,27195,33027,float_badc,0.0035707654897123575
3147,43148,544,14741,float_cdab,0.00028421077877283096
3148,43149,14741,520,float_abcd,0.0002842100802809
3149,43150,520,49364,float_cdab,-6.625247955322266
3150,43151,49364,256,float_abcd,-6.6251220703125
3247,43248,544,14741,float_cdab,0.00028421077877283096
3248,43249,14741,520,float_abcd,0.0002842100802809
